Title,Date,show_name,season,episode,is_exam_period,year,month,day,day_of_week,is_weekend,week_number
Captains of the World: The Greatest,2024-01-01,Captains of the World,,The Greatest,False,2024,1,1,0,False,1
Berlin: Season 1: After Love,2024-01-01,Berlin,1,After Love,False,2024,1,1,0,False,1
Berlin: Season 1: Anchor and Lobo,2024-01-01,Berlin,1,Anchor and Lobo,False,2024,1,1,0,False,1
Berlin: Season 1: Full House of Embryos,2024-01-01,Berlin,1,Full House of Embryos,False,2024,1,1,0,False,1
Berlin: Season 1: An Aquarium on Your Back,2024-01-01,Berlin,1,An Aquarium on Your Back,False,2024,1,1,0,False,1
Breaking Bad: Season 2: Down,2024-01-06,Breaking Bad,2,Down,False,2024,1,6,5,True,1
Breaking Bad: Season 2: Bit by a Dead Bee,2024-01-06,Breaking Bad,2,Bit by a Dead Bee,False,2024,1,6,5,True,1
Man On The Run,2024-01-08,Man On The Run,,,False,2024,1,8,0,False,2
Breaking Bad: Season 2: Breakage,2024-01-11,Breaking Bad,2,Breakage,False,2024,1,11,3,False,2
Breaking Bad: Season 2: Peekaboo,2024-01-12,Breaking Bad,2,Peekaboo,False,2024,1,12,4,False,2
Breaking Bad: Season 2: Negro y Azul,2024-01-14,Breaking Bad,2,Negro y Azul,False,2024,1,14,6,True,2
Breaking Bad: Season 2: Better Call Saul,2024-01-15,Breaking Bad,2,Better Call Saul,False,2024,1,15,0,False,3
Breaking Bad: Season 2: 4 Days Out,2024-01-17,Breaking Bad,2,4 Days Out,False,2024,1,17,2,False,3
Breaking Bad: Season 2: Over,2024-01-17,Breaking Bad,2,Over,False,2024,1,17,2,False,3
Breaking Bad: Season 2: Mandala,2024-01-17,Breaking Bad,2,Mandala,False,2024,1,17,2,False,3
Breaking Bad: Season 2: Phoenix,2024-01-18,Breaking Bad,2,Phoenix,False,2024,1,18,3,False,3
Breaking Bad: Season 3: No Más,2024-01-19,Breaking Bad,3,No Más,False,2024,1,19,4,False,3
Breaking Bad: Season 2: ABQ,2024-01-19,Breaking Bad,2,ABQ,False,2024,1,19,4,False,3
Breaking Bad: Season 3: Caballo Sin Nombre,2024-01-20,Breaking Bad,3,Caballo Sin Nombre,False,2024,1,20,5,True,3
Breaking Bad: Season 3: I.F.T.,2024-01-21,Breaking Bad,3,I.F.T.,False,2024,1,21,6,True,3
Breaking Bad: Season 3: Green Light,2024-01-22,Breaking Bad,3,Green Light,False,2024,1,22,0,False,4
Ted,2024-01-23,Ted,,,False,2024,1,23,1,False,4
Breaking Bad: Season 3: Mas,2024-01-24,Breaking Bad,3,Mas,False,2024,1,24,2,False,4
Breaking Bad: Season 3: Sunset,2024-01-24,Breaking Bad,3,Sunset,False,2024,1,24,2,False,4
Breaking Bad: Season 3: One Minute,2024-01-25,Breaking Bad,3,One Minute,False,2024,1,25,3,False,4
Breaking Bad: Season 3: I See You,2024-01-25,Breaking Bad,3,I See You,False,2024,1,25,3,False,4
Breaking Bad: Season 3: Abiquiu,2024-01-26,Breaking Bad,3,Abiquiu,False,2024,1,26,4,False,4
Breaking Bad: Season 3: Kafkaesque,2024-01-26,Breaking Bad,3,Kafkaesque,False,2024,1,26,4,False,4
Breaking Bad: Season 3: Fly,2024-01-26,Breaking Bad,3,Fly,False,2024,1,26,4,False,4
Breaking Bad: Season 3: Half Measures,2024-01-27,Breaking Bad,3,Half Measures,False,2024,1,27,5,True,4
Breaking Bad: Season 3: Full Measure,2024-01-27,Breaking Bad,3,Full Measure,False,2024,1,27,5,True,4
